"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Males","21 Other malignant neoplasms","1999",626
"Males","21 Other malignant neoplasms","2000",656
"Males","21 Other malignant neoplasms","2001",616
"Males","21 Other malignant neoplasms","2002",692
"Males","21 Other malignant neoplasms","2003",657
"Males","21 Other malignant neoplasms","2004",644
"Males","21 Other malignant neoplasms","2005",688
"Males","21 Other malignant neoplasms","2006",685
"Males","21 Other malignant neoplasms","2007",693
"Males","21 Other malignant neoplasms","2008",717
"Males","21 Other malignant neoplasms","2009",691
"Males","21 Other malignant neoplasms","2010",711
"Males","21 Other malignant neoplasms","2011",777
"Males","21 Other malignant neoplasms","2012",803
"Males","21 Other malignant neoplasms","2013",804
"Males","21 Other malignant neoplasms","2014",862
"Males","21 Other malignant neoplasms","2015",820
"Males","21 Other malignant neoplasms","2016",865
"Males","21 Other malignant neoplasms","2017",873
"Males","21 Other malignant neoplasms","2018",869
"Males","21 Other malignant neoplasms","2019",895
"Males","21 Other malignant neoplasms","2020",1025
"Males","22 Other neoplasms (D00-D48)","1971",96
"Males","22 Other neoplasms (D00-D48)","1972",70
"Males","22 Other neoplasms (D00-D48)","1973",80
"Males","22 Other neoplasms (D00-D48)","1974",82
"Males","22 Other neoplasms (D00-D48)","1975",85
"Males","22 Other neoplasms (D00-D48)","1976",84
"Males","22 Other neoplasms (D00-D48)","1977",83
"Males","22 Other neoplasms (D00-D48)","1978",96
"Males","22 Other neoplasms (D00-D48)","1979",61
"Males","22 Other neoplasms (D00-D48)","1980",58
"Males","22 Other neoplasms (D00-D48)","1981",82
"Males","22 Other neoplasms (D00-D48)","1982",74
"Males","22 Other neoplasms (D00-D48)","1983",71
"Males","22 Other neoplasms (D00-D48)","1984",79
"Males","22 Other neoplasms (D00-D48)","1985",93
"Males","22 Other neoplasms (D00-D48)","1986",93
"Males","22 Other neoplasms (D00-D48)","1987",81
"Males","22 Other neoplasms (D00-D48)","1988",75
"Males","22 Other neoplasms (D00-D48)","1989",84
"Males","22 Other neoplasms (D00-D48)","1990",105
"Males","22 Other neoplasms (D00-D48)","1991",105
"Males","22 Other neoplasms (D00-D48)","1992",111
"Males","22 Other neoplasms (D00-D48)","1993",127
"Males","22 Other neoplasms (D00-D48)","1994",100
"Males","22 Other neoplasms (D00-D48)","1995",95
"Males","22 Other neoplasms (D00-D48)","1996",88
"Males","22 Other neoplasms (D00-D48)","1997",96
"Males","22 Other neoplasms (D00-D48)","1998",94
"Males","22 Other neoplasms (D00-D48)","1999",95
"Males","22 Other neoplasms (D00-D48)","2000",108
"Males","22 Other neoplasms (D00-D48)","2001",112
"Males","22 Other neoplasms (D00-D48)","2002",126
"Males","22 Other neoplasms (D00-D48)","2003",111
"Males","22 Other neoplasms (D00-D48)","2004",103
"Males","22 Other neoplasms (D00-D48)","2005",98
"Males","22 Other neoplasms (D00-D48)","2006",115
"Males","22 Other neoplasms (D00-D48)","2007",99
"Males","22 Other neoplasms (D00-D48)","2008",104
"Males","22 Other neoplasms (D00-D48)","2009",143
"Males","22 Other neoplasms (D00-D48)","2010",124
"Males","22 Other neoplasms (D00-D48)","2011",135
"Males","22 Other neoplasms (D00-D48)","2012",147
"Males","22 Other neoplasms (D00-D48)","2013",126
"Males","22 Other neoplasms (D00-D48)","2014",162
"Males","22 Other neoplasms (D00-D48)","2015",142
"Males","22 Other neoplasms (D00-D48)","2016",152
"Males","22 Other neoplasms (D00-D48)","2017",169
"Males","22 Other neoplasms (D00-D48)","2018",166
"Males","22 Other neoplasms (D00-D48)","2019",173
"Males","22 Other neoplasms (D00-D48)","2020",194
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1971",215
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1972",224
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1973",269
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1974",282
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1975",303
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1976",264
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1977",273
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1978",267
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1979",234
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1980",261
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1981",216
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1982",160
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1983",204
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1984",204
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1985",180
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1986",195
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1987",231
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1988",213
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1989",211
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1990",243
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1991",233
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1992",239
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1993",250
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1994",255
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1995",264
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1996",262
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1997",266
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1998",278
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1999",266
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2000",275
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2001",269
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2002",317
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2003",270
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2004",297
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2005",336
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2006",295
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2007",319
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2008",319
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2009",288
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2010",329
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2011",329
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2012",366
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2013",325
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2014",352
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2015",326
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2016",402
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2017",412
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2018",399
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2019",432
"Males","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2020",487
"Males","23 Diabetes mellitus (E10-E14)","1971",182
"Males","23 Diabetes mellitus (E10-E14)","1972",195
"Males","23 Diabetes mellitus (E10-E14)","1973",223
"Males","23 Diabetes mellitus (E10-E14)","1974",234
"Males","23 Diabetes mellitus (E10-E14)","1975",256
"Males","23 Diabetes mellitus (E10-E14)","1976",221
"Males","23 Diabetes mellitus (E10-E14)","1977",232
"Males","23 Diabetes mellitus (E10-E14)","1978",220
"Males","23 Diabetes mellitus (E10-E14)","1979",192
"Males","23 Diabetes mellitus (E10-E14)","1980",219
"Males","23 Diabetes mellitus (E10-E14)","1981",178
"Males","23 Diabetes mellitus (E10-E14)","1982",142
"Males","23 Diabetes mellitus (E10-E14)","1983",166
"Males","23 Diabetes mellitus (E10-E14)","1984",172
"Males","23 Diabetes mellitus (E10-E14)","1985",150
"Males","23 Diabetes mellitus (E10-E14)","1986",157
"Males","23 Diabetes mellitus (E10-E14)","1987",194
"Males","23 Diabetes mellitus (E10-E14)","1988",183
"Males","23 Diabetes mellitus (E10-E14)","1989",172
"Males","23 Diabetes mellitus (E10-E14)","1990",209
"Males","23 Diabetes mellitus (E10-E14)","1991",199
"Males","23 Diabetes mellitus (E10-E14)","1992",211
"Males","23 Diabetes mellitus (E10-E14)","1993",214
"Males","23 Diabetes mellitus (E10-E14)","1994",226
"Males","23 Diabetes mellitus (E10-E14)","1995",224
"Males","23 Diabetes mellitus (E10-E14)","1996",226
"Males","23 Diabetes mellitus (E10-E14)","1997",222
"Males","23 Diabetes mellitus (E10-E14)","1998",245
"Males","23 Diabetes mellitus (E10-E14)","1999",238
"Males","23 Diabetes mellitus (E10-E14)","2000",224
"Males","23 Diabetes mellitus (E10-E14)","2001",241
"Males","23 Diabetes mellitus (E10-E14)","2002",266
"Males","23 Diabetes mellitus (E10-E14)","2003",225
"Males","23 Diabetes mellitus (E10-E14)","2004",261
"Males","23 Diabetes mellitus (E10-E14)","2005",291
"Males","23 Diabetes mellitus (E10-E14)","2006",241
"Males","23 Diabetes mellitus (E10-E14)","2007",269
"Males","23 Diabetes mellitus (E10-E14)","2008",269
"Males","23 Diabetes mellitus (E10-E14)","2009",224
"Males","23 Diabetes mellitus (E10-E14)","2010",243
"Males","23 Diabetes mellitus (E10-E14)","2011",268
"Males","23 Diabetes mellitus (E10-E14)","2012",278
"Males","23 Diabetes mellitus (E10-E14)","2013",264
"Males","23 Diabetes mellitus (E10-E14)","2014",270
"Males","23 Diabetes mellitus (E10-E14)","2015",251
"Males","23 Diabetes mellitus (E10-E14)","2016",303
"Males","23 Diabetes mellitus (E10-E14)","2017",324
"Males","23 Diabetes mellitus (E10-E14)","2018",309
"Males","23 Diabetes mellitus (E10-E14)","2019",316
"Males","23 Diabetes mellitus (E10-E14)","2020",382
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1971",33
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1972",29
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1973",46
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1974",48
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1975",47
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1976",43
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1977",41
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1978",47
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1979",42
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1980",42
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1981",38
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1982",18
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1983",38
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1984",32
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1985",30
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1986",38
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1987",37
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1988",30
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1989",39
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1990",34
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1991",34
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1992",28
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1993",36
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1994",29
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1995",40
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1996",36
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1997",44
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1998",33
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1999",28
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2000",51
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2001",28
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2002",51
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2003",45
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2004",36
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2005",45
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2006",54
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2007",50
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2008",50
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2009",64
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2010",86
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2011",61
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2012",88
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2013",61
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2014",82
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2015",75
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2016",99
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2017",88
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2018",90
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2019",116
"Males","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2020",105
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1971",68
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1972",67
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1973",51
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1974",65
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1975",65
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1976",42
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1977",21
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1978",63
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1979",80
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1980",80
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1981",137
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1982",163
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1983",207
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1984",204
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1985",258
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1986",316
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1987",480
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1988",557
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1989",618
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1990",605
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1991",652
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1992",700
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1993",797
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1994",704
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1995",762
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1996",766
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1997",824
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1998",891
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1999",925
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2000",897
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2001",997
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2002",1104
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2003",1119
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2004",1111
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2005",1271
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2006",1345
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2007",1433
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2008",1521
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2009",1661
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2010",1890
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2011",1892
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2012",2153
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2013",2403
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2014",2499
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2015",2717
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2016",2960
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2017",3059
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2018",3273
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2019",3401
"Males","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2020",3495
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1971",211
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1972",221
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1973",223
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1974",248
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1975",229
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1976",243
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1977",260
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1978",238
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1979",220
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1980",253
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1981",242
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1982",245
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1983",274
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1984",228
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1985",304
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1986",257
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1987",292
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1988",307
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1989",326
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1990",292
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1991",314
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1992",295
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1993",336
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1994",309
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1995",340
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1996",359
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1997",403
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1998",371
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1999",426
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2000",370
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2001",439
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2002",470
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2003",466
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2004",484
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2005",512
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2006",527
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2007",530
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2008",542
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2009",575
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2010",622
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2011",642
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2012",762
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2013",662
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2014",830
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2015",841
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2016",887
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2017",920
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2018",932
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2019",1030
"Males","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2020",1082
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1971",12218
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1972",11748
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1973",12009
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1974",12253
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1975",11892
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1976",12430
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1977",12370
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1978",12204
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1979",11932
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1980",11717
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1981",11934
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1982",11879
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1983",11820
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1984",11832
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1985",12549
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1986",11911
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1987",11648
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1988",11506
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1989",11187
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1990",11394
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1991",11224
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1992",11308
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1993",10952
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1994",10216
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1995",10609
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1996",10199
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1997",10039
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1998",10146
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1999",10093
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2000",9837
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2001",9535
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2002",9585
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2003",9588
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2004",9352
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2005",9248
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2006",9476
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2007",9650
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2008",9495
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2009",9744
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2010",9900
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2011",9791
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2012",9691
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2013",9478
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2014",9421
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2015",9471
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2016",9758
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2017",9553
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2018",9547
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2019",9255
"Males","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2020",9541
"Males","27 Ischaemic heart diseases (I20-I25)","1971",7437
"Males","27 Ischaemic heart diseases (I20-I25)","1972",7176
"Males","27 Ischaemic heart diseases (I20-I25)","1973",7434
"Males","27 Ischaemic heart diseases (I20-I25)","1974",7683
"Males","27 Ischaemic heart diseases (I20-I25)","1975",7554
"Males","27 Ischaemic heart diseases (I20-I25)","1976",8024
"Males","27 Ischaemic heart diseases (I20-I25)","1977",8004
"Males","27 Ischaemic heart diseases (I20-I25)","1978",7919
"Males","27 Ischaemic heart diseases (I20-I25)","1979",7770
"Males","27 Ischaemic heart diseases (I20-I25)","1980",7714
"Males","27 Ischaemic heart diseases (I20-I25)","1981",7759
"Males","27 Ischaemic heart diseases (I20-I25)","1982",7791
